"rn","cond","pict1","pict2","chan.a","chan.b","cov"
"1",1,"crop_31.fit","crop_32.fit","Red","Green R",-27.4403008156158
"2",1,"crop_31.fit","crop_32.fit","Red","Green B",30.5422002917278
"3",1,"crop_31.fit","crop_32.fit","Red","Blue",-35.0290057200024
"4",1,"crop_31.fit","crop_32.fit","Green R","Green B",-48.5857952636241
"5",1,"crop_31.fit","crop_32.fit","Green R","Blue",49.2875857236681
"6",1,"crop_31.fit","crop_32.fit","Green B","Blue",5.29907775461266
"7",1,"crop_31.fit","crop_33.fit","Red","Green R",-65.2246523322947
"8",1,"crop_31.fit","crop_33.fit","Red","Green B",60.3927165429497
"9",1,"crop_31.fit","crop_33.fit","Red","Blue",31.3489325589565
"10",1,"crop_31.fit","crop_33.fit","Green R","Green B",-21.4815679794416
"11",1,"crop_31.fit","crop_33.fit","Green R","Blue",46.8266677931024
"12",1,"crop_31.fit","crop_33.fit","Green B","Blue",-53.5589617508248
"13",1,"crop_31.fit","crop_34.fit","Red","Green R",-39.4280990347019
"14",1,"crop_31.fit","crop_34.fit","Red","Green B",15.6681405791789
"15",1,"crop_31.fit","crop_34.fit","Red","Blue",28.5336460624389
"16",1,"crop_31.fit","crop_34.fit","Green R","Green B",-63.6061751588465
"17",1,"crop_31.fit","crop_34.fit","Green R","Blue",-4.42868898154936
"18",1,"crop_31.fit","crop_34.fit","Green B","Blue",0.33351852700391
"19",1,"crop_31.fit","crop_35.fit","Red","Green R",-116.149476111926
"20",1,"crop_31.fit","crop_35.fit","Red","Green B",-37.4454499633431
"21",1,"crop_31.fit","crop_35.fit","Red","Blue",-24.8641098484848
"22",1,"crop_31.fit","crop_35.fit","Green R","Green B",-29.4022731091153
"23",1,"crop_31.fit","crop_35.fit","Green R","Blue",106.595388104839
"24",1,"crop_31.fit","crop_35.fit","Green B","Blue",-51.1217276087488
"25",1,"crop_31.fit","crop_36.fit","Red","Green R",-57.5373766648338
"26",1,"crop_31.fit","crop_36.fit","Red","Green B",47.8788241538368
"27",1,"crop_31.fit","crop_36.fit","Red","Blue",-15.1906874312683
"28",1,"crop_31.fit","crop_36.fit","Green R","Green B",-15.9815436369746
"29",1,"crop_31.fit","crop_36.fit","Green R","Blue",-17.4104302220797
"30",1,"crop_31.fit","crop_36.fit","Green B","Blue",25.5654716901882
"31",1,"crop_32.fit","crop_33.fit","Red","Green R",19.7378822244624
"32",1,"crop_32.fit","crop_33.fit","Red","Green B",19.6035671737537
