crop.file.name,photo.file.name,lighting,ISO,shutter.speed,aperture,focal.length,date.time.original,image.size,file.size,image.quality,camera.model
crop_1.fit,_ODL9405.NEF,Normal,100,1/30,5.6,90.0 mm,2014:07:15 13:07:40,4992x3280,18 MB,RAW,NIKON D7000
crop_2.fit,_ODL9406.NEF,Normal,100,1/30,5.6,90.0 mm,2014:07:15 13:07:42,4992x3280,18 MB,RAW,NIKON D7000
crop_3.fit,_ODL9407.NEF,Normal,100,1/30,5.6,90.0 mm,2014:07:15 13:07:44,4992x3280,18 MB,RAW,NIKON D7000
crop_4.fit,_ODL9408.NEF,Normal,100,1/30,5.6,90.0 mm,2014:07:15 13:07:46,4992x3280,18 MB,RAW,NIKON D7000
crop_5.fit,_ODL9409.NEF,Normal,100,1/30,5.6,90.0 mm,2014:07:15 13:07:48,4992x3280,18 MB,RAW,NIKON D7000
crop_6.fit,_ODL9410.NEF,Normal,100,1/30,5.6,90.0 mm,2014:07:15 13:07:50,4992x3280,18 MB,RAW,NIKON D7000
crop_7.fit,_ODL9411.NEF,Normal,100,1/40,5.6,90.0 mm,2014:07:15 13:07:59,4992x3280,18 MB,RAW,NIKON D7000
crop_8.fit,_ODL9412.NEF,Normal,100,1/40,5.6,90.0 mm,2014:07:15 13:08:01,4992x3280,18 MB,RAW,NIKON D7000
crop_9.fit,_ODL9413.NEF,Normal,100,1/40,5.6,90.0 mm,2014:07:15 13:08:03,4992x3280,18 MB,RAW,NIKON D7000
crop_10.fit,_ODL9414.NEF,Normal,100,1/40,5.6,90.0 mm,2014:07:15 13:08:05,4992x3280,18 MB,RAW,NIKON D7000
crop_11.fit,_ODL9415.NEF,Normal,100,1/40,5.6,90.0 mm,2014:07:15 13:08:07,4992x3280,18 MB,RAW,NIKON D7000
crop_12.fit,_ODL9416.NEF,Normal,100,1/40,5.6,90.0 mm,2014:07:15 13:08:10,4992x3280,18 MB,RAW,NIKON D7000
crop_13.fit,_ODL9417.NEF,Normal,100,1/50,5.6,90.0 mm,2014:07:15 13:08:16,4992x3280,18 MB,RAW,NIKON D7000
crop_14.fit,_ODL9418.NEF,Normal,100,1/50,5.6,90.0 mm,2014:07:15 13:08:18,4992x3280,18 MB,RAW,NIKON D7000
crop_15.fit,_ODL9419.NEF,Normal,100,1/50,5.6,90.0 mm,2014:07:15 13:08:20,4992x3280,18 MB,RAW,NIKON D7000
crop_16.fit,_ODL9420.NEF,Normal,100,1/50,5.6,90.0 mm,2014:07:15 13:08:22,4992x3280,18 MB,RAW,NIKON D7000
crop_17.fit,_ODL9421.NEF,Normal,100,1/50,5.6,90.0 mm,2014:07:15 13:08:25,4992x3280,18 MB,RAW,NIKON D7000
crop_18.fit,_ODL9422.NEF,Normal,100,1/50,5.6,90.0 mm,2014:07:15 13:08:27,4992x3280,18 MB,RAW,NIKON D7000
crop_19.fit,_ODL9423.NEF,Normal,100,1/60,5.6,90.0 mm,2014:07:15 13:08:33,4992x3280,18 MB,RAW,NIKON D7000
crop_20.fit,_ODL9424.NEF,Normal,100,1/60,5.6,90.0 mm,2014:07:15 13:08:35,4992x3280,18 MB,RAW,NIKON D7000
crop_21.fit,_ODL9425.NEF,Normal,100,1/60,5.6,90.0 mm,2014:07:15 13:08:37,4992x3280,18 MB,RAW,NIKON D7000
crop_22.fit,_ODL9426.NEF,Normal,100,1/60,5.6,90.0 mm,2014:07:15 13:08:39,4992x3280,18 MB,RAW,NIKON D7000
crop_23.fit,_ODL9427.NEF,Normal,100,1/60,5.6,90.0 mm,2014:07:15 13:08:41,4992x3280,18 MB,RAW,NIKON D7000
crop_24.fit,_ODL9428.NEF,Normal,100,1/60,5.6,90.0 mm,2014:07:15 13:08:43,4992x3280,18 MB,RAW,NIKON D7000
crop_25.fit,_ODL9429.NEF,Normal,100,1/80,5.6,90.0 mm,2014:07:15 13:08:49,4992x3280,18 MB,RAW,NIKON D7000
crop_26.fit,_ODL9430.NEF,Normal,100,1/80,5.6,90.0 mm,2014:07:15 13:08:51,4992x3280,18 MB,RAW,NIKON D7000
crop_27.fit,_ODL9431.NEF,Normal,100,1/80,5.6,90.0 mm,2014:07:15 13:08:53,4992x3280,18 MB,RAW,NIKON D7000
crop_28.fit,_ODL9432.NEF,Normal,100,1/80,5.6,90.0 mm,2014:07:15 13:08:55,4992x3280,18 MB,RAW,NIKON D7000
crop_29.fit,_ODL9433.NEF,Normal,100,1/80,5.6,90.0 mm,2014:07:15 13:08:57,4992x3280,18 MB,RAW,NIKON D7000
crop_30.fit,_ODL9434.NEF,Normal,100,1/80,5.6,90.0 mm,2014:07:15 13:08:59,4992x3280,18 MB,RAW,NIKON D7000
crop_31.fit,_ODL9435.NEF,Normal,100,1/100,5.6,90.0 mm,2014:07:15 13:09:04,4992x3280,17 MB,RAW,NIKON D7000
crop_32.fit,_ODL9436.NEF,Normal,100,1/100,5.6,90.0 mm,2014:07:15 13:09:06,4992x3280,17 MB,RAW,NIKON D7000
crop_33.fit,_ODL9437.NEF,Normal,100,1/100,5.6,90.0 mm,2014:07:15 13:09:08,4992x3280,17 MB,RAW,NIKON D7000
crop_34.fit,_ODL9438.NEF,Normal,100,1/100,5.6,90.0 mm,2014:07:15 13:09:10,4992x3280,17 MB,RAW,NIKON D7000
crop_35.fit,_ODL9439.NEF,Normal,100,1/100,5.6,90.0 mm,2014:07:15 13:09:12,4992x3280,17 MB,RAW,NIKON D7000
crop_36.fit,_ODL9440.NEF,Normal,100,1/100,5.6,90.0 mm,2014:07:15 13:09:14,4992x3280,17 MB,RAW,NIKON D7000
crop_37.fit,_ODL9441.NEF,Normal,100,1/125,5.6,90.0 mm,2014:07:15 13:09:20,4992x3280,17 MB,RAW,NIKON D7000
