"rn","cond","lighting","ISO","shutter.speed","aperture","focal.length","count"
"1",1,"Normal",100,"1/100",5.6,"90.0 mm",6
"2",2,"Normal",100,"1/1000",5.6,"90.0 mm",6
"3",3,"Normal",100,"1/1000",7.1,"90.0 mm",6
"4",4,"Normal",100,"1/125",5.6,"90.0 mm",6
"5",5,"Normal",100,"1/1250",5.6,"90.0 mm",6
"6",6,"Normal",100,"1/1250",7.1,"90.0 mm",6
"7",7,"Normal",100,"1/160",5.6,"90.0 mm",6
"8",8,"Normal",100,"1/1600",5.6,"90.0 mm",6
"9",9,"Normal",100,"1/1600",7.1,"90.0 mm",6
"10",10,"Normal",100,"1/200",5.6,"90.0 mm",6
"11",11,"Normal",100,"1/2000",5.6,"90.0 mm",6
"12",12,"Normal",100,"1/2000",7.1,"90.0 mm",6
"13",13,"Normal",100,"1/250",5.6,"90.0 mm",6
"14",14,"Normal",100,"1/250",7.1,"90.0 mm",6
"15",15,"Normal",100,"1/2500",5.6,"90.0 mm",6
"16",16,"Normal",100,"1/2500",7.1,"90.0 mm",6
"17",17,"Normal",100,"1/30",5.6,"90.0 mm",6
"18",18,"Normal",100,"1/320",5.6,"90.0 mm",6
"19",19,"Normal",100,"1/320",7.1,"90.0 mm",6
"20",20,"Normal",100,"1/3200",5.6,"90.0 mm",6
"21",21,"Normal",100,"1/3200",7.1,"90.0 mm",6
"22",22,"Normal",100,"1/40",5.6,"90.0 mm",6
"23",23,"Normal",100,"1/400",5.6,"90.0 mm",6
"24",24,"Normal",100,"1/400",7.1,"90.0 mm",6
"25",25,"Normal",100,"1/4000",5.6,"90.0 mm",6
"26",26,"Normal",100,"1/4000",7.1,"90.0 mm",6
"27",27,"Normal",100,"1/50",5.6,"90.0 mm",6
"28",28,"Normal",100,"1/500",5.6,"90.0 mm",6
"29",29,"Normal",100,"1/500",7.1,"90.0 mm",6
"30",30,"Normal",100,"1/5000",5.6,"90.0 mm",6
"31",31,"Normal",100,"1/5000",7.1,"90.0 mm",6
"32",32,"Normal",100,"1/60",5.6,"90.0 mm",6
"33",33,"Normal",100,"1/640",5.6,"90.0 mm",6
"34",34,"Normal",100,"1/640",7.1,"90.0 mm",6
"35",35,"Normal",100,"1/6400",5.6,"90.0 mm",6
"36",36,"Normal",100,"1/6400",7.1,"90.0 mm",6
"37",37,"Normal",100,"1/80",5.6,"90.0 mm",6
"38",38,"Normal",100,"1/800",5.6,"90.0 mm",6
"39",39,"Normal",100,"1/800",7.1,"90.0 mm",6
"40",40,"Normal",100,"1/8000",5.6,"90.0 mm",5
"41",41,"Normal",100,"1/8000",7.1,"90.0 mm",6
