"pict1","pict2","channel","mean","var","lighting","ISO","shutter.speed","aperture","focal.length","count"
"crop_34.fit","crop_35.fit","Green R",5110.1630859375,2000.62415803702,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_34.fit","crop_36.fit","Green R",5107.8115234375,1929.10738750916,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_35.fit","Blue",4065.3857421875,1869.08039314516,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_36.fit","Blue",4063.43017578125,1925.41116001879,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_32.fit","Blue",4054.78369140625,1950.3733232336,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_33.fit","Blue",4066.953125,1999.35667155425,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_36.fit","Red",2260.05859375,952.124114125122,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_34.fit","crop_35.fit","Green B",5126.3779296875,1976.21473110643,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_34.fit","crop_36.fit","Green B",5124.8076171875,1893.44661649255,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_35.fit","crop_36.fit","Green B",5115.544921875,2044.79459921799,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_34.fit","Green B",5114.34326171875,1967.78534287558,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_35.fit","crop_36.fit","Green R",5101.259765625,1884.32441348974,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_34.fit","Green R",5095.4638671875,1925.03812125794,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_35.fit","Green R",5088.912109375,1730.39268695015,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_34.fit","Green R",5087.40380859375,1915.41385200926,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_33.fit","Blue",4047.90087890625,1844.70841304298,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_36.fit","Red",2263.779296875,986.882384836266,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_34.fit","Red",2263.6962890625,1046.54481114064,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_35.fit","Red",2261.5185546875,1098.44872426381,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_34.fit","crop_35.fit","Blue",4100.83740234375,1846.43343671722,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_34.fit","crop_36.fit","Blue",4098.8818359375,1841.65491927847,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_35.fit","crop_36.fit","Blue",4093.08447265625,1882.10895067739,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_34.fit","Blue",4090.2353515625,1934.78424173693,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_35.fit","Blue",4084.43798828125,1898.97181953736,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_34.fit","Blue",4083.3525390625,1914.98325811034,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_35.fit","Green B",5105.08056640625,1884.40081972064,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_34.fit","Green B",5103.75244140625,1875.79852790124,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_36.fit","Green B",5103.51025390625,1916.22961676365,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_35.fit","Green B",5094.48974609375,2067.91715494792,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_36.fit","Green R",5086.560546875,1865.96917766373,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_35.fit","Green R",5080.85205078125,1910.18848849508,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_36.fit","Green R",5078.50048828125,1972.60025230251,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_34.fit","Green R",5070.876953125,1946.47427144428,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_33.fit","Green R",5066.15283203125,1913.64331651317,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_34.fit","Red",2256.8359375,994.514105266373,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_35.fit","Red",2254.658203125,1016.673478739,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_33.fit","Red",2253.783203125,1015.66690340909,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_36.fit","Red",2253.1982421875,973.847306864003,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_32.fit","Red",2246.9228515625,1016.30454049059,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_33.fit","Red",2243.2021484375,1042.02547463038,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_35.fit","Blue",4077.55517578125,1943.61684336434,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_36.fit","Blue",4075.599609375,1864.58283693793,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_34.fit","Blue",4071.18310546875,1861.84527307475,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_33.fit","crop_36.fit","Green B",5092.91943359375,2066.96702359406,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_34.fit","Green B",5088.931640625,1935.72976997801,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_33.fit","Green B",5082.455078125,1961.01965534885,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_35.fit","Green B",5079.6689453125,2024.0127974554,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_36.fit","Green B",5078.0986328125,2047.78250053458,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_35.fit","Green R",5064.3251953125,1901.7041311553,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_36.fit","Green R",5061.9736328125,2052.77051067632,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_32.fit","Green R",5049.6259765625,1923.1725604075,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_33.fit","Green R",5041.56591796875,1980.49855615759,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_36.fit","Blue",4082.482421875,1953.23074749511,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_34.fit","crop_35.fit","Red",2275.15234375,1056.98954514907,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_34.fit","crop_36.fit","Red",2273.6923828125,970.657057597141,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_35.fit","crop_36.fit","Red",2271.5146484375,1014.08476715237,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_34.fit","Red",2267.4169921875,1063.77080087671,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_32.fit","crop_35.fit","Red",2265.2392578125,1058.00250297837,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_32.fit","Green B",5067.63427734375,1995.19990558941,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_31.fit","crop_33.fit","Green B",5057.04345703125,2011.7739334181,"Normal",100,"1/100",5.6,"90.0 mm",6
"crop_92.fit","crop_96.fit","Blue",443.79736328125,225.267648288581,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_95.fit","Blue",443.671875,223.459660236437,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_94.fit","Red",250.8701171875,119.143494547287,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_92.fit","Red",250.37353515625,108.031535904662,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_95.fit","Red",249.1240234375,116.367025216887,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_94.fit","Blue",443.23828125,209.593778638196,"Normal",100,"1/1000",5.6,"90.0 mm",6
