"rn","cond","pict1","pict2","channel","mean","var"
"1",1,"crop_31.fit","crop_32.fit","Red",2246.9228515625,1016.30454049059
"2",1,"crop_31.fit","crop_32.fit","Green R",5049.6259765625,1923.1725604075
"3",1,"crop_31.fit","crop_32.fit","Green B",5067.63427734375,1995.19990558941
"4",1,"crop_31.fit","crop_32.fit","Blue",4054.78369140625,1950.3733232336
"5",1,"crop_31.fit","crop_33.fit","Red",2243.2021484375,1042.02547463038
"6",1,"crop_31.fit","crop_33.fit","Green R",5041.56591796875,1980.49855615759
"7",1,"crop_31.fit","crop_33.fit","Green B",5057.04345703125,2011.7739334181
"8",1,"crop_31.fit","crop_33.fit","Blue",4047.90087890625,1844.70841304298
"9",1,"crop_31.fit","crop_34.fit","Red",2256.8359375,994.514105266373
"10",1,"crop_31.fit","crop_34.fit","Green R",5070.876953125,1946.47427144428
"11",1,"crop_31.fit","crop_34.fit","Green B",5088.931640625,1935.72976997801
"12",1,"crop_31.fit","crop_34.fit","Blue",4071.18310546875,1861.84527307475
"13",1,"crop_31.fit","crop_35.fit","Red",2254.658203125,1016.673478739
"14",1,"crop_31.fit","crop_35.fit","Green R",5064.3251953125,1901.7041311553
"15",1,"crop_31.fit","crop_35.fit","Green B",5079.6689453125,2024.0127974554
"16",1,"crop_31.fit","crop_35.fit","Blue",4065.3857421875,1869.08039314516
"17",1,"crop_31.fit","crop_36.fit","Red",2253.1982421875,973.847306864003
"18",1,"crop_31.fit","crop_36.fit","Green R",5061.9736328125,2052.77051067632
"19",1,"crop_31.fit","crop_36.fit","Green B",5078.0986328125,2047.78250053458
"20",1,"crop_31.fit","crop_36.fit","Blue",4063.43017578125,1925.41116001879
"21",1,"crop_32.fit","crop_33.fit","Red",2253.783203125,1015.66690340909
"22",1,"crop_32.fit","crop_33.fit","Green R",5066.15283203125,1913.64331651317
"23",1,"crop_32.fit","crop_33.fit","Green B",5082.455078125,1961.01965534885
"24",1,"crop_32.fit","crop_33.fit","Blue",4066.953125,1999.35667155425
"25",1,"crop_32.fit","crop_34.fit","Red",2267.4169921875,1063.77080087671
"26",1,"crop_32.fit","crop_34.fit","Green R",5095.4638671875,1925.03812125794
"27",1,"crop_32.fit","crop_34.fit","Green B",5114.34326171875,1967.78534287558
"28",1,"crop_32.fit","crop_34.fit","Blue",4090.2353515625,1934.78424173693
"29",1,"crop_32.fit","crop_35.fit","Red",2265.2392578125,1058.00250297837
"30",1,"crop_32.fit","crop_35.fit","Green R",5088.912109375,1730.39268695015
